iter	Logloss
0	0.6773004194
1	0.6641833799
2	0.6506216171
3	0.6356173035
4	0.6220058144
5	0.6095391673
6	0.598580543
7	0.5840059646
8	0.5723747632
9	0.560077532
10	0.5473690168
11	0.5363588807
12	0.5277642866
13	0.5192338659
14	0.5094916161
15	0.5003691328
16	0.4914933333
17	0.483175183
18	0.4734380194
19	0.4660109391
20	0.45859533
21	0.4522204839
22	0.4438846128
23	0.4366718049
24	0.4294251246
25	0.4231117194
26	0.4179153172
27	0.4127875254
28	0.4059467721
29	0.4019868188
30	0.3979893137
31	0.392059732
32	0.3871153703
33	0.3817229034
34	0.3772320308
35	0.3721584564
36	0.3684162654
37	0.3639119466
38	0.3609060734
39	0.3563130156
40	0.3524517573
41	0.3488876938
42	0.3458012791
43	0.3423593399
44	0.3385649877
45	0.3356924936
46	0.3330375455
47	0.3302745684
48	0.3275210333
49	0.3247766698
50	0.3206489509
51	0.3174531003
52	0.3143488837
53	0.3115399408
54	0.308248804
55	0.3055813837
56	0.3034675273
57	0.3005242314
58	0.2984243352
59	0.2966028308
60	0.2944670332
61	0.293280473
62	0.2905634887
63	0.2884706538
64	0.286832336
65	0.2843518088
66	0.2823623224
67	0.2807101798
68	0.2785686736
69	0.2773664217
70	0.2755845523
71	0.274621463
72	0.2733520075
73	0.2720246281
74	0.2704485088
75	0.269069374
76	0.2676276349
77	0.2657303776
78	0.2644135495
79	0.2631694713
80	0.2616646138
81	0.2601052142
82	0.2589298275
83	0.25778274
84	0.2560330655
85	0.2550706255
86	0.2540640865
87	0.2525793035
88	0.2514973093
89	0.2505281868
90	0.2492751534
91	0.2479237766
92	0.2467263134
93	0.2455336118
94	0.2444488309
95	0.2437174371
96	0.2421525184
97	0.2407739518
98	0.2395650985
99	0.2385531486
100	0.2376638642
101	0.236598238
102	0.2356691834
103	0.2344304619
104	0.2335360913
105	0.232959612
106	0.2317446715
107	0.2308987557
108	0.2301517784
109	0.2290644003
110	0.2283107135
111	0.2274745914
112	0.226633613
113	0.2256933172
114	0.2251567299
115	0.2243909903
116	0.2235562345
117	0.2229819602
118	0.2220365781
119	0.2213556682
120	0.2209797852
121	0.220266004
122	0.2198185752
123	0.2191971312
124	0.2184722576
125	0.2175220868
126	0.2170670151
127	0.2161185894
128	0.2155789585
129	0.2149255901
130	0.2140462077
131	0.213407503
132	0.2126940734
133	0.2119713912
134	0.2111956008
135	0.2105061416
136	0.2101264304
137	0.2095756531
138	0.2089088792
139	0.2081696801
140	0.207434174
141	0.2069610569
142	0.2060850563
143	0.2057051963
144	0.205246134
145	0.2047043929
146	0.2041194997
147	0.2037248273
148	0.2033442504
149	0.202675258
150	0.2022697503
151	0.2019153351
152	0.2015039972
153	0.2010889662
154	0.2006458526
155	0.2000780985
156	0.1997137273
157	0.1991266156
158	0.1987768268
159	0.1984146335
160	0.1979559499
161	0.1976522351
162	0.1971605179
163	0.1965803863
164	0.1963228266
165	0.1958773593
166	0.1953291792
167	0.1948864984
168	0.1945527936
169	0.1942239315
170	0.1937515313
171	0.1931270708
172	0.1925217108
173	0.1919567568
174	0.1915838093
175	0.190821925
176	0.1904591499
177	0.1900783566
178	0.189546558
179	0.1890582633
180	0.1885753659
181	0.1882053132
182	0.1877788787
183	0.1871336808
184	0.1866155043
185	0.186276402
186	0.185801107
187	0.1853905536
188	0.1850286173
189	0.1847106176
190	0.1842886336
191	0.1839047425
192	0.1834654842
193	0.1831031826
194	0.1827838438
195	0.1823746025
196	0.1819642655
197	0.1814809353
198	0.1810182612
199	0.1806212351
200	0.1804136858
201	0.1801457507
202	0.1797213723
203	0.179399558
204	0.1791317175
205	0.178769673
206	0.1782970699
207	0.177992584
208	0.177831501
209	0.1774698487
210	0.177034121
211	0.1766499729
212	0.1760990062
213	0.1758359273
214	0.175441769
215	0.174968706
216	0.1744471476
217	0.173895031
218	0.1736516479
219	0.1733764216
220	0.1728966084
221	0.1726296337
222	0.172327745
223	0.1718394503
224	0.1713727451
225	0.1710526081
226	0.1708614809
227	0.1707299145
228	0.170426903
229	0.1699547734
230	0.1697237272
231	0.1695251194
232	0.1692352295
233	0.1689271318
234	0.1686157335
235	0.1682806624
236	0.1680195315
237	0.1677528814
238	0.1673965048
239	0.1670880013
240	0.166737942
241	0.1664303719
242	0.1661937254
243	0.1659815362
244	0.1654833124
245	0.1651846027
246	0.1649777703
247	0.1648034035
248	0.1645125261
249	0.1641681752
250	0.1638261511
251	0.1636011381
252	0.1634853715
253	0.1631761916
254	0.1629225548
255	0.1624929279
256	0.1620635986
257	0.1618126673
258	0.1616764474
259	0.1613271997
260	0.1611027548
261	0.1607352453
262	0.1606118628
263	0.1603525446
264	0.1600229926
265	0.1598056225
266	0.159573954
267	0.1593485893
268	0.159098429
269	0.1588444676
270	0.158591656
271	0.1583668594
272	0.1581533851
273	0.1580146221
274	0.1577551145
275	0.1574697562
276	0.1572967151
277	0.1572128188
278	0.1568895705
279	0.1564883915
280	0.156155823
281	0.1559398868
282	0.1557300378
283	0.1555253157
284	0.1551488782
285	0.1549051975
286	0.1547358087
287	0.1545038967
288	0.1543215488
289	0.1540742969
290	0.1538396795
291	0.1534894307
292	0.153384716
293	0.1531212448
294	0.1528027988
295	0.1525390571
296	0.1523535573
297	0.1521203197
298	0.151865993
299	0.1517271759
300	0.1516244361
301	0.151304015
302	0.1508888623
303	0.1507313776
304	0.1504816096
305	0.1502953658
306	0.1500185162
307	0.1498291881
308	0.1495191966
309	0.1492910182
310	0.1488943979
311	0.1487433657
312	0.1485702298
313	0.1482279351
314	0.1480528649
315	0.1477613517
316	0.1475693858
317	0.1473715627
318	0.147211156
319	0.1470523185
320	0.1467799464
321	0.1466195262
322	0.1464024808
