iter	Passed	Remaining
0	10	10704
1	22	11437
2	35	11702
3	46	11493
4	56	11287
5	66	11001
6	75	10751
7	85	10622
8	95	10506
9	105	10437
10	116	10516
11	127	10457
12	168	12824
13	178	12547
14	187	12342
15	197	12147
16	207	12003
17	217	11865
18	226	11709
19	236	11611
20	247	11528
21	259	11547
22	268	11420
23	278	11331
24	287	11231
25	299	11202
26	313	11284
27	323	11240
28	334	11200
29	348	11271
30	364	11405
31	379	11481
32	393	11526
33	406	11552
34	418	11549
35	431	11567
36	445	11606
37	457	11582
38	466	11487
39	476	11425
40	485	11354
41	494	11280
42	506	11265
43	515	11204
44	525	11158
45	534	11089
46	545	11050
47	555	11012
48	564	10960
49	574	10924
50	584	10881
51	594	10845
52	605	10813
53	614	10766
54	623	10713
55	633	10677
56	643	10642
57	653	10613
58	662	10564
59	672	10530
60	681	10490
61	691	10457
62	701	10428
63	711	10401
64	720	10365
65	730	10339
66	739	10302
67	749	10270
68	758	10231
69	768	10204
70	779	10204
71	788	10168
72	799	10150
73	807	10107
74	815	10062
75	824	10020
76	832	9978
77	840	9936
78	848	9895
79	857	9857
80	865	9820
81	873	9781
82	883	9756
83	892	9729
84	903	9730
85	916	9735
86	926	9724
87	936	9707
88	945	9674
89	955	9663
90	965	9642
91	975	9622
92	983	9595
93	991	9560
94	1001	9537
95	1010	9514
96	1020	9498
97	1029	9475
98	1038	9448
99	1047	9429
100	1056	9403
101	1067	9399
102	1077	9383
103	1087	9365
104	1096	9347
105	1106	9328
106	1116	9314
107	1125	9298
108	1134	9272
109	1142	9242
110	1150	9214
111	1232	9772
112	1252	9835
113	1274	9906
114	1284	9882
115	1304	9938
116	1318	9948
117	1326	9916
118	1334	9879
119	1343	9852
120	1351	9818
121	1362	9802
122	1370	9771
123	1379	9745
124	1387	9710
125	1396	9686
126	1405	9659
127	1413	9626
128	1421	9599
129	1432	9585
130	1442	9566
131	1450	9536
132	1459	9514
133	1468	9491
134	1478	9470
135	1487	9449
136	1495	9421
137	1504	9397
138	1512	9368
139	1521	9344
140	1529	9318
141	1539	9299
142	1547	9274
143	1556	9253
144	1564	9224
145	1573	9204
146	1581	9179
147	1590	9158
148	1600	9139
149	1610	9124
150	1619	9107
151	1628	9086
152	1637	9065
153	1645	9040
154	1654	9019
155	1663	8998
156	1672	8981
157	1681	8961
158	1690	8939
159	1699	8923
160	1709	8906
161	1719	8893
162	1728	8877
163	1738	8862
164	1747	8842
165	1756	8824
166	1766	8810
167	1775	8793
168	1785	8777
169	1794	8760
170	1803	8742
171	1812	8724
172	1821	8705
173	1830	8687
174	1838	8668
175	1848	8652
176	1857	8636
177	1866	8621
178	1877	8613
179	1895	8636
180	1905	8622
181	1916	8611
182	1926	8600
183	1936	8588
184	1942	8559
185	1952	8544
186	1962	8530
187	1971	8516
188	1981	8503
189	1991	8491
190	2001	8476
191	2010	8460
192	2020	8448
193	2032	8442
194	2042	8431
195	2053	8425
196	2063	8411
197	2074	8402
198	2084	8389
199	2094	8378
200	2104	8363
201	2113	8348
202	2124	8342
203	2134	8327
204	2143	8312
205	2153	8299
206	2162	8282
207	2171	8269
208	2180	8253
209	2190	8239
210	2200	8226
211	2208	8210
212	2218	8197
213	2227	8183
214	2237	8168
215	2246	8152
216	2255	8137
217	2263	8119
218	2272	8104
219	2281	8090
220	2290	8074
221	2299	8060
222	2308	8044
223	2317	8029
224	2327	8016
225	2336	8002
226	2345	7988
227	2354	7972
228	2363	7958
229	2372	7942
230	2381	7928
231	2390	7912
232	2399	7900
233	2410	7889
234	2419	7874
235	2427	7859
236	2437	7846
237	2446	7834
238	2455	7818
239	2465	7805
240	2474	7793
241	2484	7781
242	2496	7778
243	2506	7767
244	2517	7757
245	2526	7744
246	2535	7729
247	2544	7716
248	2554	7703
249	2562	7688
250	2572	7675
251	2580	7660
252	2591	7650
253	2599	7635
254	2610	7627
255	2619	7612
256	2628	7600
257	2638	7589
258	2647	7575
259	2657	7564
260	2666	7550
261	2675	7537
262	2684	7522
263	2693	7509
264	2703	7498
265	2712	7485
266	2722	7475
267	2732	7462
268	2741	7449
269	2751	7438
270	2759	7424
271	2769	7412
272	2778	7398
273	2787	7386
274	2796	7373
275	2806	7361
276	2816	7350
277	2825	7338
278	2836	7331
279	2846	7320
280	2856	7308
281	2882	7339
282	2892	7327
283	2900	7313
284	2912	7305
285	2922	7294
286	2932	7284
287	2942	7275
288	2952	7262
289	2962	7251
290	2970	7238
291	2980	7227
292	2990	7216
293	2999	7203
294	3008	7190
295	3017	7177
296	3028	7168
297	3038	7156
298	3048	7146
299	3057	7134
300	3067	7122
301	3077	7112
302	3086	7100
303	3096	7088
304	3105	7076
305	3114	7063
306	3124	7052
307	3134	7041
308	3144	7031
309	3153	7018
310	3162	7007
311	3173	6996
312	3181	6983
313	3192	6974
314	3201	6961
315	3211	6950
316	3221	6940
317	3230	6927
318	3241	6919
319	3250	6906
320	3259	6895
321	3268	6882
322	3277	6869
323	3298	6882
324	3319	6895
325	3329	6883
326	3340	6874
327	3349	6862
328	3358	6849
329	3367	6837
330	3376	6823
331	3387	6814
332	3396	6803
333	3405	6790
334	3414	6778
335	3424	6766
336	3434	6757
337	3444	6745
338	3453	6734
339	3463	6723
340	3472	6710
341	3481	6699
342	3505	6715
343	3515	6704
344	3524	6691
345	3533	6678
346	3541	6665
347	3551	6654
348	3560	6642
349	3570	6630
350	3579	6618
351	3588	6605
352	3597	6593
353	3606	6581
354	3616	6570
355	3625	6558
356	3634	6545
357	3644	6535
358	3653	6523
359	3663	6512
360	3673	6501
361	3682	6490
362	3692	6479
363	3701	6467
364	3711	6456
365	3723	6450
366	3732	6438
367	3744	6430
368	3753	6419
369	3763	6408
370	3773	6397
371	3782	6385
372	3791	6374
373	3801	6363
374	3813	6355
375	3823	6345
376	3832	6333
377	3843	6323
378	3853	6313
379	3862	6302
380	3873	6292
381	3882	6281
382	3891	6269
383	3901	6258
384	3909	6245
385	3918	6233
386	3927	6220
387	3936	6208
388	3945	6196
389	3954	6185
390	3974	6190
391	3983	6179
392	3992	6166
393	4003	6157
394	4012	6145
395	4021	6133
396	4030	6121
397	4040	6110
398	4049	6099
399	4058	6087
400	4068	6077
401	4077	6065
402	4087	6054
403	4097	6044
404	4106	6033
405	4116	6023
406	4126	6011
407	4135	6001
408	4147	5992
409	4159	5985
410	4170	5976
411	4182	5969
412	4194	5961
413	4203	5949
414	4212	5938
415	4221	5926
416	4230	5914
417	4239	5902
418	4248	5891
419	4258	5880
420	4267	5869
421	4277	5858
422	4286	5847
423	4296	5836
424	4305	5824
425	4312	5810
426	4319	5797
427	4327	5783
428	4335	5770
429	4343	5757
430	4350	5744
431	4359	5731
432	4363	5714
433	4372	5701
434	4380	5689
435	4398	5689
436	4407	5678
437	4415	5665
438	4423	5652
439	4431	5639
440	4439	5627
441	4446	5613
442	4454	5600
443	4461	5587
444	4470	5575
445	4478	5562
446	4486	5550
447	4494	5537
448	4502	5525
449	4510	5512
450	4518	5500
451	4525	5486
452	4533	5474
453	4541	5461
454	4549	5449
455	4555	5435
456	4563	5422
457	4571	5409
458	4579	5397
459	4587	5385
460	4595	5372
461	4603	5360
462	4610	5347
463	4618	5335
464	4626	5322
465	4634	5310
466	4642	5298
467	4649	5285
468	4657	5273
469	4667	5263
470	4677	5253
471	4685	5241
472	4695	5231
473	4703	5219
474	4712	5208
475	4720	5196
476	4730	5186
477	4739	5176
478	4747	5163
479	4755	5151
480	4763	5139
481	4770	5126
482	4780	5116
483	4788	5104
484	4795	5092
485	4808	5085
486	4816	5073
487	4825	5062
488	4833	5050
489	4841	5039
490	4849	5026
491	4857	5015
492	4865	5003
493	4874	4993
494	4881	4980
495	4890	4969
496	4898	4957
497	4907	4946
498	4914	4934
499	4923	4923
500	4930	4910
501	4939	4899
502	4946	4887
503	4955	4876
504	4964	4865
505	4974	4856
506	4983	4845
507	4992	4835
508	5002	4826
509	5010	4814
510	5019	4803
511	5026	4791
512	5035	4780
513	5044	4769
514	5052	4758
515	5060	4746
516	5068	4735
517	5077	4724
518	5085	4713
519	5093	4701
520	5102	4691
521	5111	4680
522	5120	4669
523	5128	4659
524	5137	4648
525	5145	4636
526	5153	4625
527	5161	4613
528	5168	4602
529	5176	4590
530	5184	4578
531	5191	4567
532	5200	4556
533	5207	4544
534	5215	4533
535	5222	4520
536	5231	4510
537	5238	4498
538	5246	4487
539	5253	4475
540	5262	4464
541	5269	4453
542	5278	4442
543	5286	4431
544	5295	4421
545	5303	4410
546	5312	4399
547	5320	4388
548	5328	4377
549	5336	4366
550	5344	4355
551	5351	4343
552	5359	4332
553	5367	4320
554	5375	4310
555	5382	4298
556	5391	4287
557	5398	4276
558	5407	4266
559	5415	4254
560	5429	4249
561	5437	4238
562	5444	4226
563	5452	4215
564	5460	4203
565	5467	4192
566	5475	4181
567	5483	4170
568	5491	4159
569	5498	4147
570	5507	4137
571	5516	4127
572	5535	4125
573	5544	4114
574	5554	4105
575	5562	4094
576	5570	4084
577	5578	4072
578	5586	4062
579	5594	4051
580	5602	4040
581	5610	4029
582	5619	4019
